bass,samling,group
boor,bord,table
bohnke,hög,pile
boppe,bröst,breast
böjsor,byxor,trousers
clågga,klocka,clock
donsalock,brunsslock,well
fibbar,tangatrosor,tanga briefs
fiddamauda,smörgås,sandwhich
flabb,mun,mouth
fröjta-päråhr,fruktpäron,pears
fälleben,krokben,crowbar
glojarn,glasögon,eye-glasses
himm,hem,home
hoe,huvud,head
horsapära,hästskit,horse_poo
hosor,byxor,pants
hossah,strumpa,sock
hosseslidare,latmask,lazybones
hott,snaps,shot
hunnajävel,byracka,dog
hynsaglytt,kyckling,chicken
Islöv,Eslöv,The_most_boring_place_in_Sweden
katoffelgröt,potatismos,mashed_potatoes
knudor,potatis,potatoes
konkelbähr,kånkelbär,dingle_berries
kyddboulleh,köttbulle,meatball
lommemaud,ficksmörgås,pocket-sandwich
Lunn,Lund,City_of_Lund
Malmoe,Malmö,Beside_Copenhagen
mölla,väderkvarn,wind_mill
nattasark,nattlinne,pyamas
pantåller,potatis,potatoes
pattaglytt,ynklig_person,weak_person
pjodd,liten_fågel,small_bird
pågadruhl,pojkvasker,young_man
pähråhr,potatis,potatoes
rabbemoes,rotmos,mashed_swedes
rolleböhr,skottkärra,wheel-barrow
skidhus,toalett,toilet
skiid,skit,shit
snorfana,näsduk,handkerchief
spåga,trästicka,splinter
stoejn,sten,stone
stolpapäror,pommes_frites,french_fries
tjabbröv,jobbig_person,annoying_person
tollor,tofflor,clogs
traderöv,tråkig_person,dull_person
Trelleholla,Trelleborg,Village?
värmöllah,väderkvarn,windmill
ennavänd,bakochfram,reversed
glyttit,löjligt,ridiculous
hialös,rastlös,uneasy
hied,otålig,impatient
himmaluad,hemmagjord,home_made
nellad,sugen_på,keen on
sollten,hungrig,hungry
rälig,äcklig,disgusting
flabba,skratta,laugh
hotta,kasta,throw
spilla,spela,play
töra,knyta,tie
